"Date","Year","Month","GLD, USD","GLD index","BTC, USD","BTC index","IXN, USD","IXN index","S&P (SPX), USD","S&P index","US inflation","US inflation index","CZ inflation","CZ inflation index"
2019-01-01,2019,1,124.75,1,3457.793,1,24.867,1,2704.1,1,1.6,1,2.2,1
2019-02-01,2019,2,123.99,0.994,3854.785,1.115,26.266,1.056,2784.49,1.03,1.5,0.999,2.3,1.001
2019-03-01,2019,3,122.01,0.978,4105.404,1.187,27.422,1.103,2834.4,1.048,1.9,1.003,2.4,1.002
2019-04-01,2019,4,121.2,0.972,5350.727,1.547,29.038,1.168,2945.83,1.089,2.0,1.004,2.4,1.002
2019-05-01,2019,5,123.33,0.989,8574.502,2.48,26.526,1.067,2752.06,1.018,1.8,1.002,2.5,1.003
2019-06-01,2019,6,133.2,1.068,10817.155,3.128,28.778,1.157,2941.76,1.088,1.6,1,2.5,1.003
2019-07-01,2019,7,133.21,1.068,10085.628,2.917,29.599,1.19,2980.38,1.102,1.8,1.002,2.6,1.004
2019-08-01,2019,8,143.75,1.152,9630.664,2.785,29.133,1.172,2926.46,1.082,1.7,1.001,2.6,1.004
2019-09-01,2019,9,138.87,1.113,8293.868,2.399,29.836,1.2,2976.74,1.101,1.7,1.001,2.6,1.004
2019-10-01,2019,10,142.43,1.142,9199.585,2.661,30.992,1.246,3037.56,1.123,1.8,1.002,2.7,1.005
2019-11-01,2019,11,137.86,1.105,7569.63,2.189,32.56,1.309,3140.98,1.162,2.1,1.005,2.7,1.005
2019-12-01,2019,12,142.9,1.145,7193.599,2.08,33.952,1.365,3230.78,1.195,2.3,1.007,2.8,1.006
2020-01-01,2020,1,149.33,1.197,9350.529,2.704,34.934,1.405,3225.52,1.193,2.5,1.025,2.9,1.029
2020-02-01,2020,2,148.38,1.189,8599.509,2.487,32.605,1.311,2954.22,1.092,2.3,1.022,3.0,1.031
2020-03-01,2020,3,148.05,1.187,6438.645,1.862,29.58,1.19,2584.59,0.956,1.5,1.018,3.1,1.033
2020-04-01,2020,4,158.8,1.273,8658.554,2.504,33.377,1.342,2912.43,1.077,0.3,1.007,3.1,1.033
2020-05-01,2020,5,162.91,1.306,9461.059,2.736,35.8,1.44,3044.31,1.126,0.1,1.003,3.1,1.034
2020-06-01,2020,6,167.37,1.342,9137.993,2.643,38.206,1.536,3100.29,1.147,0.6,1.006,3.1,1.034
2020-07-01,2020,7,185.43,1.486,11323.467,3.275,40.81,1.641,3271.12,1.21,1.0,1.012,3.2,1.036
2020-08-01,2020,8,184.83,1.482,11680.82,3.378,44.794,1.801,3500.31,1.294,1.3,1.014,3.2,1.036
2020-09-01,2020,9,177.12,1.42,10784.491,3.119,42.952,1.727,3363,1.244,1.4,1.015,3.3,1.037
2020-10-01,2020,10,176.2,1.412,13780.995,3.985,40.814,1.641,3269.96,1.209,1.2,1.014,3.3,1.038
2020-11-01,2020,11,166.67,1.336,19625.836,5.676,45.98,1.849,3621.63,1.339,1.2,1.017,3.2,1.037
2020-12-01,2020,12,178.36,1.43,29001.721,8.387,48.878,1.966,3756.07,1.389,1.4,1.021,3.2,1.038
2021-01-01,2021,1,172.61,1.384,33114.359,9.577,48.937,1.968,3714.24,1.374,1.4,1.039,3.0,1.06
2021-02-01,2021,2,161.81,1.297,45137.77,13.054,49.693,1.998,3811.15,1.409,1.7,1.039,2.9,1.061
2021-03-01,2021,3,159.96,1.282,58918.832,17.039,50.29,2.022,3972.89,1.469,2.6,1.044,2.8,1.062
2021-04-01,2021,4,165.66,1.328,57750.176,16.701,52.692,2.119,4181.17,1.546,4.2,1.049,2.8,1.062
2021-05-01,2021,5,178.38,1.43,37332.855,10.797,52.318,2.104,4204.11,1.555,5.0,1.053,2.8,1.063
2021-06-01,2021,6,165.63,1.328,35040.836,10.134,55.16,2.218,4297.5,1.589,5.4,1.06,2.8,1.063
2021-07-01,2021,7,169.82,1.361,41626.195,12.038,57.237,2.302,4395.26,1.625,5.4,1.067,2.8,1.065
2021-08-01,2021,8,169.69,1.36,47166.688,13.641,59.186,2.38,4522.68,1.673,5.3,1.068,2.8,1.065
2021-09-01,2021,9,164.22,1.316,43790.895,12.664,55.771,2.243,4307.54,1.593,5.4,1.07,3.0,1.068
2021-10-01,2021,10,166.65,1.336,61318.957,17.734,59.511,2.393,4605.38,1.703,6.2,1.077,3.2,1.071
2021-11-01,2021,11,165.5,1.327,57005.426,16.486,61.489,2.473,4567,1.689,6.8,1.086,3.5,1.073
2021-12-01,2021,12,170.96,1.37,46306.445,13.392,63.379,2.549,4766.18,1.763,7.0,1.092,3.8,1.078
2022-01-01,2022,1,168.09,1.347,38483.125,11.129,58.757,2.363,4515.55,1.67,7.5,1.117,4.5,1.108
2022-02-01,2022,2,178.38,1.43,43193.234,12.492,55.757,2.242,4373.94,1.618,7.9,1.121,5.2,1.116
2022-03-01,2022,3,180.65,1.448,45538.676,13.17,57.247,2.302,4530.41,1.675,8.5,1.133,6.1,1.127
2022-04-01,2022,4,176.91,1.418,37714.875,10.907,50.616,2.035,4131.93,1.528,8.3,1.136,7.0,1.136
2022-05-01,2022,5,171.14,1.372,31792.311,9.194,50.389,2.026,4132.15,1.528,8.6,1.144,8.1,1.149
2022-06-01,2022,6,168.46,1.35,19784.727,5.722,45.099,1.814,3785.38,1.4,9.1,1.157,9.4,1.163
2022-07-01,2022,7,164.1,1.315,23336.896,6.749,50.989,2.05,4130.29,1.527,8.5,1.157,10.6,1.178
2022-08-01,2022,8,159.27,1.277,20049.764,5.798,47.78,1.921,3955,1.463,8.3,1.156,11.7,1.19
2022-09-01,2022,9,154.67,1.24,19431.789,5.62,41.77,1.68,3585.62,1.326,8.2,1.158,12.7,1.204
2022-10-01,2022,10,151.91,1.218,20495.773,5.927,44.978,1.809,3871.98,1.432,7.7,1.16,13.5,1.216
2022-11-01,2022,11,164.81,1.321,17168.566,4.965,48.622,1.955,4080.11,1.509,7.1,1.163,14.4,1.228
2022-12-01,2022,12,169.64,1.36,16547.496,4.786,44.394,1.785,3839.5,1.42,6.5,1.163,15.1,1.24
2023-01-01,2023,1,179.41,1.438,23139.283,6.692,49.289,1.982,4076.6,1.508,6.4,1.189,15.7,1.281
2023-02-01,2023,2,169.78,1.361,23147.354,6.694,48.921,1.967,3970.15,1.468,6.0,1.189,16.2,1.297
2023-03-01,2023,3,183.22,1.469,28478.484,8.236,54.041,2.173,4109.31,1.52,5.0,1.19,16.4,1.312
2023-04-01,2023,4,184.8,1.481,29268.807,8.465,53.782,2.163,4169.48,1.542,4.9,1.192,16.2,1.32
2023-05-01,2023,5,182.32,1.461,27219.658,7.872,58.713,2.361,4179.83,1.546,4.0,1.189,15.8,1.331
2023-06-01,2023,6,178.27,1.429,30477.252,8.814,61.824,2.486,4450.38,1.646,3.0,1.192,15.1,1.338
2023-07-01,2023,7,182.35,1.462,29230.111,8.453,63.123,2.538,4588.96,1.697,3.2,1.194,14.3,1.346
2023-08-01,2023,8,180.02,1.443,25931.473,7.499,61.707,2.481,4507.66,1.667,3.7,1.199,13.6,1.351
2023-09-01,2023,9,171.45,1.374,26967.916,7.799,57.66,2.319,4288.05,1.586,3.7,1.2,12.7,1.357
2023-10-01,2023,10,184.09,1.476,34667.781,10.026,57.62,2.317,4193.8,1.551,3.2,1.197,12.1,1.363
2023-11-01,2023,11,188.75,1.513,37712.746,10.907,65.346,2.628,4567.8,1.689,3.1,1.199,11.4,1.368
2023-12-01,2023,12,191.17,1.532,42265.188,12.223,67.968,2.733,4769.83,1.764,3.4,1.203,10.7,1.373
2024-01-01,2024,1,188.45,1.511,42582.605,12.315,69.89,2.811,4845.65,1.792,3.1,1.226,9.4,1.402
2024-02-01,2024,2,189.31,1.518,61198.383,17.699,73.43,2.953,5096.27,1.885,3.2,1.227,8.2,1.403
2024-03-01,2024,3,205.72,1.649,71333.648,20.63,74.81,3.008,5254.35,1.943,3.5,1.232,7.1,1.405
2024-04-01,2024,4,211.87,1.698,60636.855,17.536,70.48,2.834,5035.69,1.862,3.4,1.233,6.3,1.404
2024-05-01,2024,5,223.66,1.793,67051.875,19.392,75.9,3.052,5303.27,1.961,,,,
