"Kraj","sledovane_bdobi","stejne_obdobi_predchoziho_roku","rozdil_sl1_sl2","mezirocni_index","sledovane_obdobi_mesicni_mzda","stejne_obdobi_predchoziho_roku_mesicni_mzda","rozdil_sl5_sl6","mezirocni_indexx","rok"
"ČR_úhrnem","4237.100085","4216.110042","20.99004272","100.4978533","41281.71352","38443.66732","2838.046203","107.3823503","rok 2023"
"Hlavní_město_Praha","921.8700898","893.6402225","28.2298673","103.1589746","50102.87859","47091.76111","3011.11748","106.3941492","rok 2023"
"Středočeský_kraj","435.3355105","434.5550856","0.780424845","100.1795917","42180.93913","39181.27961","2999.659511","107.6558488","rok 2023"
"Jihočeský_kraj","227.1847492","227.8631638","-0.6784145975","99.70227105","37909.30971","35200.01158","2709.298134","107.6968672","rok 2023"
"Plzeňský_kraj","227.3958718","225.3920798","2.003791965","100.889025","39584.2479","36795.15833","2789.089568","107.580045","rok 2023"
"Karlovarský_kraj","84.94335254","85.17643996","-0.2330874147","99.72634755","35881.39832","33419.2046","2462.193722","107.3676012","rok 2023"
"Ústecký_kraj","248.9551568","250.4402267","-1.485069902","99.40701623","38553.03965","35601.49103","2951.548623","108.2905197","rok 2023"
"Liberecký_kraj","150.8542764","151.4287042","-0.5744277993","99.62066122","37433.0394","34790.63983","2642.39957","107.5951451","rok 2023"
"Královéhradecký_kraj","209.4989066","209.6373604","-0.1384537728","99.93395558","38668.49237","36042.47037","2626.021994","107.2859101","rok 2023"
"Pardubický_kraj","188.0379268","189.7778944","-1.739967576","99.08315582","36972.2426","34408.87369","2563.368911","107.4497321","rok 2023"
"Kraj_Vysočina","176.9825127","178.074393","-1.091880327","99.38684035","38175.60455","35475.16256","2700.441981","107.6122047","rok 2023"
"Jihomoravský_kraj","490.5803923","489.6083111","0.9720811564","100.1985426","40206.33662","37522.46373","2683.872897","107.1527097","rok 2023"
"Olomoucký_kraj","229.0054577","230.1829455","-1.177487888","99.48845563","37116.27083","34642.25991","2474.010923","107.1415979","rok 2023"
"Zlínský_kraj","209.1405181","210.8854869","-1.744968747","99.17255152","37537.64483","34892.69531","2644.949527","107.5802385","rok 2023"
"Moravskoslezský_kraj","432.4819984","434.3689587","-1.88696033","99.56558582","37704.46917","35107.13249","2597.336682","107.3983162","rok 2023"
"Praha","921.8700898","893.6402225","28.2298673","103.1589746","50102.87859","47091.76111","3011.11748","106.3941492","rok 2023"
"Střední_Čechy","435.3355105","434.5550856","0.780424845","100.1795917","42180.93913","39181.27961","2999.659511","107.6558488","rok 2023"
"Jihozápad","454.580621","453.2552436","1.325377367","100.292413","38747.16775","35993.2367","2753.931058","107.6512459","rok 2023"
"Severozápad","333.8985094","335.6166667","-1.718157316","99.4880596","37873.37752","35047.6467","2825.730828","108.0625408","rok 2023"
"Severovýchod","548.3911098","550.8439589","-2.452849148","99.55471071","37747.01016","35135.52821","2611.481953","107.4325963","rok 2023"
"Jihovýchod","667.562905","667.6827041","-0.1197991705","99.98205747","39667.9543","36976.43803","2691.51627","107.2790036","rok 2023"
"Střední_Morava","438.1459758","441.0684324","-2.922456635","99.33741424","37317.40557","34761.99913","2555.406442","107.3511493","rok 2023"
"Moravskoslezsko","432.4819984","434.3689587","-1.88696033","99.56558582","37704.46917","35107.13249","2597.336682","107.3983162","rok 2023"
"ČR úhrnem","4226.74503","4210.956365","15.78866426","100.3749425","33227.6334","31005.86103","2221.772369","107.1656529","rok 2019"
"Hlavní_město_Praha","879.5810447","875.922445","3.658599734","100.4176854","40960.91722","38459.58608","2501.331148","106.5037911","rok 2019"
"Středočeský_kraj","425.847453","420.9620985","4.885354452","101.1605212","34327.54806","31756.09642","2571.451644","108.0975055","rok 2019"
"Jihočeský_kraj","231.7790268","230.1384459","1.640580879","100.7128669","30181.46437","28061.97762","2119.48675","107.5528773","rok 2019"
"Plzeňský_kraj","221.4046981","222.0962707","-0.6915726586","99.68861582","32368.84205","30219.172","2149.670048","107.1135968","rok 2019"
"Karlovarský_kraj","91.19029805","92.14801846","-0.9577204069","98.96067173","29044.32741","27123.30284","1921.024566","107.0825614","rok 2019"
"Ústecký_kraj","257.9932557","257.8259536","0.1673020232","100.0648895","30962.56368","28566.87322","2395.690459","108.3862537","rok 2019"
"Liberecký_kraj","152.1345772","152.4556207","-0.3210434953","99.78941839","31070.66048","28870.45124","2200.209243","107.6209728","rok 2019"
"Královéhradecký_kraj","208.1421646","205.7444493","2.397715356","101.1653852","31254.12454","28943.76411","2310.360424","107.982239","rok 2019"
"Pardubický_kraj","190.3202349","189.0716814","1.248553478","100.6603599","29914.18088","27978.77662","1935.404255","106.9174013","rok 2019"
"Kraj_Vysočina","180.2818637","180.6703396","-0.3884759186","99.7849808","30662.28975","28659.12093","2003.168826","106.9896381","rok 2019"
"Jihomoravský_kraj","487.5933498","484.0238102","3.569539615","100.7374719","32129.17027","29788.72288","2340.447392","107.8568235","rok 2019"
"Olomoucký_kraj","231.3093238","231.3101917","-0.0008678434","99.99962481","29820.18453","27811.19126","2008.99327","107.2236865","rok 2019"
"Zlínský_kraj","215.1116351","214.1313999","0.9802352227","100.4577728","29617.14911","27808.48185","1808.667263","106.504013","rok 2019"
"Moravskoslezský_kraj","451.3848468","452.4140569","-1.029210083","99.77250705","29908.23817","28207.73921","1700.498961","106.0284837","rok 2019"
"Praha","879.5810447","875.922445","3.658599734","100.4176854","40960.91722","38459.58608","2501.331148","106.5037911","rok 2019"
"Střední_Čechy","425.847453","420.9620985","4.885354452","101.1605212","34327.54806","31756.09642","2571.451644","108.0975055","rok 2019"
